date,matchup,player,category,direction,line,proj,actual,edge,result
2026-06-23,TOR@ATL,Te-Hina Paopao,bench,OVER,4.0,5.5,2.0,1.5,MISS
2026-06-23,TOR@ATL,Isobel Borlase,bench,OVER,4.0,5.1,8.0,1.1,HIT
2026-06-23,TOR@ATL,Madina Okot,bench,OVER,4.0,4.8,18.0,0.8,HIT
2026-06-23,TOR@ATL,Sika Kone,bench,OVER,3.0,4.4,0.0,1.4,MISS
2026-06-23,TOR@ATL,Indya Nivar,bench,OVER,3.0,3.8,0.0,0.8,MISS
2026-06-20,WSH@NY,Georgia Amoore,starters,OVER,2.0,3.3,0.0,1.3,MISS
2026-06-20,WSH@NY,Shakira Austin,starters,OVER,2.0,3.3,8.0,1.3,HIT
2026-06-20,WSH@NY,Lauren Betts,starters,OVER,2.0,3.3,4.0,1.3,HIT
2026-06-20,WSH@NY,Sonia Citron,starters,OVER,2.0,3.3,12.0,1.3,HIT
2026-06-20,WSH@NY,Angela Dugalic,starters,OVER,2.0,3.3,4.0,1.3,HIT
2026-06-20,WSH@NY,Alicia Florez,bench,OVER,2.0,3.3,7.0,1.3,HIT
2026-06-20,WSH@NY,Rori Harmon,bench,OVER,2.0,3.3,0.0,1.3,MISS
2026-06-20,WSH@NY,Cotie McMahon,bench,OVER,2.0,3.3,8.0,1.3,HIT
2026-06-20,WSH@NY,Lucy Olsen,bench,OVER,2.0,3.3,2.0,1.3,MISS
2026-06-20,WSH@NY,Michaela Onyenwere,bench,OVER,2.0,3.3,17.0,1.3,HIT
2026-06-20,WSH@NY,Cassandre Prosper,bench,OVER,2.0,3.3,2.0,1.3,MISS
2026-06-20,WSH@NY,Pauline Astier,starters,OVER,2.0,3.3,6.0,1.3,HIT
2026-06-20,WSH@NY,Raquel Carrera,starters,OVER,2.0,3.3,4.0,1.3,HIT
2026-06-20,WSH@NY,Leonie Fiebich,starters,OVER,2.0,3.3,8.0,1.3,HIT
