2026-06-16,MLB,TOR@BOS,TOR,Ernie Clement,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Ernie Clement,,ACTIVE,hits,UNDER,1.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Ernie Clement,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Ernie Clement,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,TOR,Ernie Clement,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Ceddanne Rafaela,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Ceddanne Rafaela,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Ceddanne Rafaela,,ACTIVE,sb,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Marcelo Mayer,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Marcelo Mayer,,ACTIVE,hits,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Marcelo Mayer,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Marcelo Mayer,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Marcelo Mayer,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Wilyer Abreu,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Wilyer Abreu,,ACTIVE,hits,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Wilyer Abreu,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Wilyer Abreu,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Wilyer Abreu,,ACTIVE,sb,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,TOR@BOS,BOS,Wilyer Abreu,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
